"name","year","undergraduate_enrollment","tuition_and_fees_2018_19","institution_size_category","level_of_institution","degree_of_urbanization_urban_centric_locale","mean_enrollment","mean_african_american","mean_asian","mean_hispanic","mean_white","mean_women","mean_admitted","quantiles_women","quantiles_admission"
"Alabama A & M University",2018,5143,9744,"5,000 - 9,999","Four or more years","City",4551,93.2222222222222,0,0.666666666666667,2.66666666666667,54,70,"50 to 74%","75 to 100%"
"Judson College",2018,268,18510,"Under 1,000","Four or more years","Rural",337.888888888889,16.7777777777778,1.11111111111111,1.66666666666667,75.2222222222222,97,66.3333333333333,"75 to 100%","25 to 49%"
"Grand Canyon University",2018,54139,17050,"20,000 and above","Four or more years","City",38399.2222222222,17.8888888888889,3.33333333333333,14.5555555555556,42.1111111111111,74,58,"50 to 74%","50 to 74%"
"Arkansas State University-Main Campus",2018,9350,8607,"10,000 - 19,999","Four or more years","City",9852.44444444445,14.1111111111111,1,2.33333333333333,73.6666666666667,58,70.3333333333333,"50 to 74%","75 to 100%"
"Azusa Pacific University",2018,5657,38880,"10,000 - 19,999","Four or more years","Suburb",5908.33333333333,5,8.77777777777778,25.1111111111111,46.4444444444444,65,65.7777777777778,"50 to 74%","50 to 74%"
"California Baptist University",2018,7855,33478,"10,000 - 19,999","Four or more years","City",6024.77777777778,7.88888888888889,4.88888888888889,30.8888888888889,43.6666666666667,63,73.6666666666667,"50 to 74%","75 to 100%"
"California Institute of Technology",2018,948,52362,"1,000 - 4,999","Four or more years","City",976.777777777778,1.33333333333333,41.6666666666667,10.6666666666667,30.2222222222222,40,10.1111111111111,"25 to 49%","0 to 24%"
"California State University-Long Beach",2018,31690,6798,"20,000 and above","Four or more years","City",30887.7777777778,4,22.6666666666667,37.5555555555556,20.7777777777778,57,31.8888888888889,"50 to 74%","25 to 49%"
"University of California-Los Angeles",2018,31577,13226,"20,000 and above","Four or more years","City",29182.8888888889,3.11111111111111,30.7777777777778,19.5555555555556,28.7777777777778,56,20.1111111111111,"50 to 74%","0 to 24%"
"University of California-Santa Barbara",2018,23070,14391,"20,000 and above","Four or more years","Suburb",20424.4444444444,2.22222222222222,17.7777777777778,25.1111111111111,37.8888888888889,53,39.2222222222222,"50 to 74%","25 to 49%"
"California Institute of the Arts",2018,1010,49276,"1,000 - 4,999","Four or more years","Suburb",960.222222222222,6,11.3333333333333,13,44.3333333333333,55,24.2222222222222,"50 to 74%","0 to 24%"
"California State University Maritime Academy",2018,1017,7056,"1,000 - 4,999","Four or more years","City",1006.11111111111,2.55555555555556,8.66666666666667,16.6666666666667,54.3333333333333,15,69.7777777777778,"0 to 24%","50 to 74%"
"Concordia University-Irvine",2018,1788,35400,"1,000 - 4,999","Four or more years","City",1810.22222222222,3.77777777777778,6.33333333333333,19.7777777777778,51.6666666666667,62,70,"50 to 74%","50 to 74%"
"Claremont McKenna College",2018,1324,54405,"1,000 - 4,999","Four or more years","Suburb",1308.88888888889,3.77777777777778,10.8888888888889,11.7777777777778,43.4444444444444,48,11.8888888888889,"25 to 49%","0 to 24%"
"Laguna College of Art and Design",2018,705,30700,"Under 1,000","Four or more years","Rural",538,1.66666666666667,16.8888888888889,16.7777777777778,47.7777777777778,63,47.2222222222222,"50 to 74%","75 to 100%"
"The Master's University and Seminary",2018,1387,25390,"1,000 - 4,999","Four or more years","Suburb",1222.88888888889,3.22222222222222,5.66666666666667,9.11111111111111,65,47,75.1111111111111,"25 to 49%","75 to 100%"
"Mills College",2018,768,30257,"1,000 - 4,999","Four or more years","City",883.666666666667,7.88888888888889,9.88888888888889,23.2222222222222,43,100,72.2222222222222,"75 to 100%","75 to 100%"
"Pacific Oaks College",2018,476,13688,"1,000 - 4,999","Four or more years","City",398.666666666667,7.33333333333333,3.33333333333333,54.8888888888889,23.3333333333333,93,31,"75 to 100%","25 to 49%"
"San Diego State University",2018,30586,7488,"20,000 and above","Four or more years","City",27912.2222222222,4,13.7777777777778,29.4444444444444,35.6666666666667,55,33.6666666666667,"50 to 74%","25 to 49%"
"William Jessup University",2018,1257,33550,"1,000 - 4,999","Four or more years","Rural",1052.88888888889,5.44444444444444,3.55555555555556,16.3333333333333,65,59,66.3333333333333,"50 to 74%","50 to 74%"
"Santa Clara University",2018,5520,51711,"5,000 - 9,999","Four or more years","City",5372.11111111111,3.11111111111111,15.1111111111111,17.4444444444444,46.7777777777778,50,52.4444444444444,"50 to 74%","50 to 74%"
"Scripps College",2018,1052,55024,"1,000 - 4,999","Four or more years","Suburb",995.444444444444,3.77777777777778,15.2222222222222,10.2222222222222,52.5555555555556,100,31.7777777777778,"75 to 100%","0 to 24%"
"Simpson University",2018,720,30200,"Under 1,000","Four or more years","City",929.777777777778,3.55555555555556,5,13.1111111111111,61,65,55.4444444444444,"50 to 74%","50 to 74%"
"University of Southern California",2018,19907,56225,"20,000 and above","Four or more years","City",18552.7777777778,4.33333333333333,21.7777777777778,13.8888888888889,39.2222222222222,51,18.7777777777778,"50 to 74%","0 to 24%"
"Adams State University",2018,1997,9440,"1,000 - 4,999","Four or more years","Town",2213.77777777778,6.66666666666667,1.11111111111111,33,47.8888888888889,50,73.2222222222222,"50 to 74%","75 to 100%"
"University of Hartford",2018,5000,40694,"5,000 - 9,999","Four or more years","City",5218.22222222222,14.4444444444444,3.22222222222222,9.77777777777778,56.4444444444444,51,65.2222222222222,"50 to 74%","50 to 74%"
"University of Saint Joseph",2018,903,38173,"1,000 - 4,999","Four or more years","City",974.111111111111,12.6666666666667,3.55555555555556,13.5555555555556,51.3333333333333,97,83.3333333333333,"75 to 100%","50 to 74%"
"Western Connecticut State University",2018,5028,10859,"5,000 - 9,999","Four or more years","City",5431.22222222222,9.88888888888889,3.33333333333333,14.7777777777778,64.3333333333333,53,62.5555555555556,"50 to 74%","75 to 100%"
"University of Delaware",2018,19956,13680,"20,000 and above","Four or more years","Suburb",18782.2222222222,5.66666666666667,4.55555555555556,7,74.2222222222222,57,63.3333333333333,"50 to 74%","50 to 74%"
"Trinity College of Florida",2018,205,16340,"Under 1,000","Four or more years","Suburb",207.222222222222,20.8888888888889,1,16.1111111111111,53,44,60.1428571428571,"25 to 49%","75 to 100%"
"Georgia State University",2018,27231,9112,"20,000 and above","Four or more years","City",25088.8888888889,39.8888888888889,11.8888888888889,9.11111111111111,29.6666666666667,59,58.4444444444444,"50 to 74%","50 to 74%"
"Herzing University-Atlanta",2018,695,14000,"Under 1,000","Four or more years","City",511.222222222222,72.3333333333333,8,3.77777777777778,7.88888888888889,66,88.4444444444444,"50 to 74%","75 to 100%"
"Savannah State University",2018,3895,5743,"1,000 - 4,999","Four or more years","City",4406.88888888889,85.7777777777778,0,4.33333333333333,4.22222222222222,57,65.7142857142857,"50 to 74%","25 to 49%"
"Spelman College",2018,2171,29064,"1,000 - 4,999","Four or more years","City",2148.11111111111,89.8888888888889,0,0,0,100,41.1111111111111,"75 to 100%","25 to 49%"
"Valdosta State University",2018,8700,6410,"10,000 - 19,999","Four or more years","City",9545.77777777778,35.8888888888889,1,4.88888888888889,51.4444444444444,60,61,"50 to 74%","50 to 74%"
"Blackburn College",2018,566,22410,"Under 1,000","Four or more years","Town",569.111111111111,10.3333333333333,0.666666666666667,2.22222222222222,81.6666666666667,57,59.8888888888889,"50 to 74%","50 to 74%"
"Bradley University",2018,4606,33760,"5,000 - 9,999","Four or more years","City",4719.44444444444,6.22222222222222,3.22222222222222,6.66666666666667,71.3333333333333,52,67.7777777777778,"50 to 74%","50 to 74%"
"Lewis University",2018,4351,32450,"5,000 - 9,999","Four or more years","Suburb",4526.33333333333,7.11111111111111,3.55555555555556,17.4444444444444,62.5555555555556,55,59.7777777777778,"50 to 74%","50 to 74%"
"National Louis University",2018,3051,10710,"5,000 - 9,999","Four or more years","City",1636.11111111111,33.5555555555556,2.11111111111111,28.8888888888889,24.1111111111111,76,83.6666666666667,"75 to 100%","75 to 100%"
"Northwestern University",2018,8642,54568,"20,000 and above","Four or more years","City",9075.55555555555,5.66666666666667,17.3333333333333,10.1111111111111,51.1111111111111,51,15.2222222222222,"50 to 74%","0 to 24%"
"Southern Illinois University-Edwardsville",2018,10833,12132,"10,000 - 19,999","Four or more years","Suburb",11384.4444444444,14,1.88888888888889,4,74.1111111111111,53,85.4444444444444,"50 to 74%","75 to 100%"
"Trinity Christian College",2018,1063,30175,"1,000 - 4,999","Four or more years","Suburb",1286.33333333333,9,1.33333333333333,10.4444444444444,69.1111111111111,66,81.7777777777778,"50 to 74%","50 to 74%"
"Indiana University-Kokomo",2018,2912,7344,"1,000 - 4,999","Four or more years","City",3495.22222222222,4.11111111111111,1,4.22222222222222,81.7777777777778,65,71.8888888888889,"50 to 74%","75 to 100%"
"Baker University",2018,1793,29830,"1,000 - 4,999","Four or more years","Town",1893.33333333333,9,1.44444444444444,5.55555555555556,74,56,79.6666666666667,"50 to 74%","75 to 100%"
"Concorde Career College-Kansas City",2018,606,NA,"Under 1,000","Four or more years","City",616.777777777778,31.4444444444444,1.88888888888889,10.3333333333333,46.3333333333333,90,94.4444444444444,"75 to 100%","75 to 100%"
"Kansas Wesleyan University",2018,667,29500,"Under 1,000","Four or more years","Town",711.444444444444,9.77777777777778,0.777777777777778,13.1111111111111,70.1111111111111,50,54.5555555555556,"50 to 74%","25 to 49%"
"Manhattan Christian College",2018,232,16260,"Under 1,000","Four or more years","City",317.111111111111,4.88888888888889,0.111111111111111,5.22222222222222,69.4444444444444,43,63.8333333333333,"25 to 49%","50 to 74%"
"Kentucky Mountain Bible College",2018,71,9460,"Under 1,000","Four or more years","Rural",79.7777777777778,1.77777777777778,0.111111111111111,1.22222222222222,90.7777777777778,46,54.1111111111111,"25 to 49%","25 to 49%"
"University of Kentucky",2018,22136,12245,"20,000 and above","Four or more years","City",21600.4444444444,7.44444444444444,2.44444444444444,3.55555555555556,77.4444444444444,52,80.2222222222222,"50 to 74%","75 to 100%"
"Murray State University",2018,8056,9084,"5,000 - 9,999","Four or more years","Town",8817.33333333333,6.66666666666667,1,1.77777777777778,82.1111111111111,59,82.5555555555556,"50 to 74%","75 to 100%"
"Spalding University",2018,1028,24500,"1,000 - 4,999","Four or more years","City",1285.55555555556,21.5555555555556,1.44444444444444,3.44444444444444,60.6666666666667,71,55.6666666666667,"50 to 74%","75 to 100%"
"Dillard University",2018,1309,17918,"1,000 - 4,999","Four or more years","City",1241.22222222222,90.7777777777778,0,0.555555555555556,0.222222222222222,73,43.3333333333333,"50 to 74%","50 to 74%"
"Grambling State University",2018,4110,7435,"5,000 - 9,999","Four or more years","Town",4069.11111111111,89.2222222222222,0,1.11111111111111,1.33333333333333,59,48.5555555555556,"50 to 74%","75 to 100%"
"Nicholls State University",2018,5864,7952,"5,000 - 9,999","Four or more years","City",5865.44444444444,19.5555555555556,1,3,68.3333333333333,63,87.7777777777778,"50 to 74%","75 to 100%"
"Unity College",2018,735,29160,"Under 1,000","Four or more years","Rural",631.555555555556,0.888888888888889,1,2,89.6666666666667,52,86.2222222222222,"50 to 74%","75 to 100%"
"Capitol Technology University",2018,434,25540,"Under 1,000","Four or more years","Suburb",416.777777777778,33.5555555555556,4.88888888888889,8.44444444444444,41.6666666666667,19,73.3333333333333,"0 to 24%","50 to 74%"
